school_district,Bldg ID,Bldg Name,Bldg Enroll,Target Bldg Cap,Target Bldg Util,Org ID,Incl. Class,Organization Name,Org Enroll,Org Target Cap,Org Target Util,PreK Cap +,No. of Cluster / Spec Rms Reported +,No. of Cluster Rms Needed +,Data As Of
1,M064,P.S. 64 (OLD 71) - M,,,,MSBH,  ,NENA/RYAN HLTH. CLINIC - M,,,,,,,04/27/2015
1,M064,P.S. 64 (OLD 71) - M,,,,MUFT,  ,UFT USE - M,,,,,,,04/27/2015
1,M097,BARD COLLEGE HS (OLD M097) - M,560.0,782.0,72.0,M696,  ,BARD COLLEGE HS - M,560.0,782.0,72.0,,7.0,0.0,04/27/2015
1,M110,P.S. 110 - M,416.0,394.0,106.0,M110,  ,P.S. 110 - M,416.0,394.0,106.0,36.0,4.0,3.0,04/27/2015
1,M134,P.S. 134 - M,520.0,699.0,74.0,M134,  ,P.S. 134 - M,318.0,413.0,77.0,36.0,4.0,3.0,04/27/2015
1,M134,P.S. 134 - M,,,,M137,  ,P.S. 137 - M,202.0,286.0,71.0,18.0,2.0,2.0,04/27/2015
1,M137,P.S. 137 - M,668.0,737.0,91.0,M184,  ,P.S. 184 - M,668.0,737.0,91.0,36.0,6.0,3.0,04/27/2015
4,M045,I.S. 45 - M,,,,MCBO,  ,HARLEM DNA LAB,,,,,,,04/27/2015
1,M140,P.S. 140 - M,393.0,493.0,80.0,M140,  ,P.S. 140 - M,393.0,493.0,80.0,18.0,5.0,3.0,04/27/2015
1,M140,P.S. 140 - M,,,,MCBO,  ,EDUCATION ALLIANCE - M,,,,,,,04/27/2015
1,M140,P.S. 140 - M,,,,MSST,  ,SCHOOL SAFETY - M,,,,,,,04/27/2015
1,M142,P.S. 142 - M,658.0,627.0,105.0,M142,  ,P.S. 142 - M,384.0,446.0,86.0,36.0,6.0,3.0,04/27/2015
1,M142,P.S. 142 - M,,,,M320,  ,MANHATTAN CHARTER - M,274.0,181.0,151.0,0.0,1.0,3.0,04/27/2015
1,M142,P.S. 142 - M,,,,MCBO,  ,EDUCATIONAL ALLIANCE - M,,,,,,,04/27/2015
1,M188,P.S. 188 - M,889.0,1064.0,84.0,M094,* ,M094 SPED - M,52.0,97.0,54.0,,,,04/27/2015
1,M188,P.S. 188 - M,,,,M188,  ,P.S. 188 - M,501.0,632.0,79.0,36.0,4.0,3.0,04/27/2015
1,M188,P.S. 188 - M,,,,M330,  ,GIRLS PREP CHARTER SCHOOL - M,336.0,335.0,100.0,0.0,6.0,3.0,04/27/2015
1,M446,UNIVERSITY NEIGHBORHOOD - M,299.0,639.0,47.0,M448,  ,UNIVERSITY NEIGHBORHOOD HS - M,299.0,639.0,47.0,,10.0,0.0,04/27/2015
1,M446,UNIVERSITY NEIGHBORHOOD - M,,,,MCBO,  ,COMMUNITY BASED ORGANIZATION - M,,,,,,,04/27/2015
1,M510,FORSYTH HS (AUXSVC-OLD 91) - M,677.0,894.0,76.0,M458,  ,SATELLITE AT FORSYTHE,224.0,349.0,64.0,,2.0,0.0,04/27/2015
1,M510,FORSYTH HS (AUXSVC-OLD 91) - M,,,,M650,  ,CASCADES CTR FOR TCHING & LNG - M,222.0,297.0,75.0,,3.0,0.0,04/27/2015
1,M510,FORSYTH HS (AUXSVC-OLD 91) - M,,,,M984,  ,LYFE,,,,,,,04/27/2015
1,M510,FORSYTH HS (AUXSVC-OLD 91) - M,,,,MCEP,  ,ADULT BASIC EDUCATION - M,,,,,,,04/27/2015
1,M510,FORSYTH HS (AUXSVC-OLD 91) - M,,,,Q950,  ,PATHWAYS TO GRADUATION - Q,231.0,248.0,93.0,,,,04/27/2015
1,M751,P.S. 751 (CAR.DEV/OLD 25) - M,211.0,215.0,98.0,M751,  ,M751 SPED - M,211.0,215.0,98.0,,,,04/27/2015
2,M001,P.S. 1 - M,496.0,669.0,74.0,M001,  ,P.S. 1 - M,496.0,669.0,74.0,47.0,5.0,3.0,04/27/2015
2,M002,P.S. 2 - M,822.0,911.0,90.0,M002,  ,P.S. 2 - M,822.0,911.0,90.0,36.0,6.0,4.0,04/27/2015
2,M002,P.S. 2 - M,,,,MCBO,  ,CHINESE-AMERICAN PLNG COUNCIL - M,,,,,,,04/27/2015
2,M003,P.S. 3 - M,808.0,730.0,111.0,M003,  ,P.S. 3 - M,808.0,730.0,111.0,48.0,7.0,4.0,04/27/2015
2,M006,P.S. 6 - M,751.0,540.0,139.0,M006,  ,P.S. 6 - M,751.0,540.0,139.0,0.0,2.0,4.0,04/27/2015
2,M011,P.S. 11 - M,820.0,786.0,104.0,M011,  ,P.S. 11 - M,820.0,786.0,104.0,18.0,6.0,4.0,04/27/2015
2,M017,I.S. 17 - M,855.0,893.0,96.0,M212,  ,P.S. 212 - M,343.0,342.0,100.0,0.0,2.0,3.0,04/27/2015
2,M017,I.S. 17 - M,,,,M408,  ,P.P.A.S. - M,512.0,551.0,93.0,,3.0,0.0,04/27/2015
2,M033,P.S. 33 - M,655.0,666.0,98.0,M033,  ,P.S. 33 - M,576.0,584.0,99.0,35.0,1.0,3.0,04/27/2015
2,M033,P.S. 33 - M,,,,M138,* ,M138 SPED - M,79.0,82.0,96.0,,,,04/27/2015
2,M040,P.S. 40 - M,972.0,908.0,107.0,M040,  ,P.S. 40 - M,594.0,562.0,106.0,0.0,4.0,3.0,04/27/2015
2,M040,P.S. 40 - M,,,,M255,  ,I.S. 255 - M,378.0,346.0,109.0,,5.0,0.0,04/27/2015
2,M041,P.S. 41 - M,791.0,638.0,124.0,M041,  ,P.S. 41 - M,791.0,638.0,124.0,32.0,5.0,4.0,04/27/2015
2,M042,P.S. 42 - M,792.0,729.0,109.0,M042,  ,P.S. 42 - M,792.0,729.0,109.0,34.0,3.0,4.0,04/27/2015
2,M047,J.H.S. 47 (SCH FOR THE DEAF) - M,442.0,791.0,56.0,M047,  ,J.H.S. 47 (SCH FOR THE DEAF) - M,184.0,268.0,69.0,,3.0,0.0,04/27/2015
2,M047,J.H.S. 47 (SCH FOR THE DEAF) - M,,,,M138,  ,M138 SPED - M,44.0,98.0,45.0,,,,04/27/2015
2,M047,J.H.S. 47 (SCH FOR THE DEAF) - M,,,,M347,  ,P.S. 347 - M,214.0,425.0,50.0,107.0,2.0,2.0,04/27/2015
2,M058,P.S. 35 (OLD 58/MNHT HS) - M,208.0,260.0,80.0,M035,  ,M035 SPED - M,189.0,213.0,89.0,,,,04/27/2015
2,M058,P.S. 35 (OLD 58/MNHT HS) - M,,,,M984,  ,LYFE,,,,,,,04/27/2015
2,M058,P.S. 35 (OLD 58/MNHT HS) - M,,,,Q950,  ,PATHWAYS TO GRADUATION - Q,19.0,47.0,40.0,,,,04/27/2015
2,M066,RICHARD R GREEN HS OF TEACHING - M,485.0,728.0,67.0,M151,  ,P.S. 151 - M,485.0,728.0,67.0,0.0,5.0,3.0,04/27/2015
2,M070,I.S. 70 - M,1634.0,1656.0,99.0,M312,  ,NYC LAB MIDDLE SCHOOL - M,573.0,660.0,87.0,,2.0,0.0,04/27/2015
2,M070,I.S. 70 - M,,,,M412,  ,NYC LAB HS - M,599.0,516.0,116.0,,6.0,0.0,04/27/2015
2,M070,I.S. 70 - M,,,,M414,  ,MUSEUM SCHOOL - M,462.0,480.0,96.0,,5.0,0.0,04/27/2015
2,M070,I.S. 70 - M,,,,MCBO,  ,HUDSON GUILD - M,,,,,,,04/27/2015
2,M089,P.S./I.S. 89 - M,765.0,737.0,104.0,M089,  ,P.S. 89 - M,472.0,427.0,111.0,36.0,4.0,3.0,04/27/2015
2,M089,P.S./I.S. 89 - M,,,,M289,  ,I.S. 89 - M,293.0,310.0,95.0,,1.0,0.0,04/27/2015
2,M104,I.S. 104 - M,1034.0,1198.0,86.0,M104,  ,I.S. 104 - M,1034.0,1198.0,86.0,,7.0,0.0,04/27/2015
2,M111,P.S. 111 - M,533.0,753.0,71.0,M111,  ,P.S. 111 - M,533.0,753.0,71.0,36.0,5.0,3.0,04/27/2015
2,M114,EAST SIDE MIDDLE SCHOOL - M,479.0,518.0,92.0,M114,  ,I.S. 114 - M,443.0,485.0,91.0,,4.0,0.0,04/27/2015
2,M114,EAST SIDE MIDDLE SCHOOL - M,,,,M138,  ,M138 SPED - M,36.0,33.0,109.0,,,,04/27/2015
2,M116,P.S. 116 - M,724.0,639.0,113.0,M116,  ,P.S. 116 - M,724.0,639.0,113.0,0.0,4.0,3.0,04/27/2015
2,M124,P.S. 124 (ECF) - M,866.0,901.0,96.0,M124,  ,P.S. 124 - M,866.0,901.0,96.0,35.0,8.0,4.0,04/27/2015
2,M126,P.S. 126 - M,841.0,926.0,91.0,M126,  ,P.S. 126 - M,841.0,926.0,91.0,54.0,7.0,4.0,04/27/2015
2,M126,P.S. 126 - M,,,,MCBO,  ,YMCA - M,,,,,,,04/27/2015
2,M126,P.S. 126 - M,,,,MUFT,  ,UFT USE - M,,,,,,,04/27/2015
2,M130,P.S. 130 - M,999.0,964.0,104.0,M130,  ,P.S. 130 - M,999.0,964.0,104.0,36.0,6.0,4.0,04/27/2015
2,M130,P.S. 130 - M,,,,MCBO,  ,CHINESE AMER. PLANNING COUN. - M,,,,,,,04/27/2015
2,M131,I.S. 131 - M,1087.0,1487.0,73.0,M131,  ,I.S. 131 - M,445.0,592.0,75.0,,9.0,0.0,04/27/2015
2,M131,I.S. 131 - M,,,,M298,  ,PACE HIGH SCHOOL - M,421.0,547.0,77.0,,3.0,0.0,04/27/2015
2,M131,I.S. 131 - M,,,,M394,  ,EMMA LAZARUS HIGH SCHOOL,221.0,348.0,64.0,,7.0,0.0,04/27/2015
2,M131,I.S. 131 - M,,,,MCBO,  ,CHINATOWN YMCA - M,,,,,,,04/27/2015
2,M158,P.S. 158 - M,747.0,1063.0,70.0,M158,  ,P.S. 158 - M,747.0,1063.0,70.0,32.0,14.0,3.0,04/27/2015
2,M167,I.S. 167 - M,1345.0,1472.0,91.0,M167,  ,I.S. 167 - M,1345.0,1472.0,91.0,,11.0,0.0,04/27/2015
2,M169,P.S. 169 (ECF) - M,162.0,252.0,64.0,M169,  ,M169 SPED - M,162.0,252.0,64.0,,,,04/27/2015
2,M169,P.S. 169 (ECF) - M,,,,MADM,  ,QCPC - M,,,,,,,04/27/2015
2,M183,P.S. 183 - M,606.0,466.0,130.0,M183,  ,P.S. 183 - M,606.0,466.0,130.0,0.0,2.0,3.0,04/27/2015
2,M190,P.S. 290 - M,675.0,515.0,131.0,M290,  ,P.S. 290 - M,675.0,515.0,131.0,0.0,2.0,3.0,04/27/2015
2,M198,P.S. 198 - M,843.0,743.0,113.0,M077,  ,P.S. 77 - M,348.0,253.0,138.0,0.0,3.0,3.0,04/27/2015
2,M198,P.S. 198 - M,,,,M198,  ,P.S. 198 - M,495.0,490.0,101.0,32.0,4.0,3.0,04/27/2015
2,M234,P.S. 234 - M,643.0,504.0,128.0,M234,  ,P.S. 234 - M,643.0,504.0,128.0,0.0,2.0,4.0,04/27/2015
2,M267,P.S. 59 (MEETH) - M               ,261.0,384.0,68.0,M267,  ,P.S. 267,261.0,384.0,68.0,36.0,4.0,3.0,04/27/2015
2,M271,P.S./I.S. 217 - M,518.0,720.0,72.0,M217,  ,P.S./I.S. 217 - M,518.0,720.0,72.0,36.0,8.0,3.0,04/27/2015
2,M276,P.S./I.S. 276 - M,930.0,768.0,121.0,M094,* ,M094 SPED - M,55.0,35.0,157.0,,,,04/27/2015
2,M276,P.S./I.S. 276 - M,,,,M276,  ,P.S./I.S. 276 - M,875.0,733.0,119.0,0.0,5.0,4.0,04/27/2015
2,M281,P.S. 281 - M,146.0,846.0,17.0,M094,  ,M094 SPED - M,61.0,68.0,90.0,,,,04/27/2015
2,M281,P.S. 281 - M,,,,M281,  ,PS 281 - THE RIVER SCHOOL,85.0,778.0,11.0,70.0,2.0,1.0,04/27/2015
2,M282,BROADWAY EDUCATION CAMPUS - M,1355.0,1425.0,95.0,M316,  ,URBAN ASSEMBLY SCHOOL - M,412.0,498.0,83.0,,6.0,0.0,04/27/2015
2,M282,BROADWAY EDUCATION CAMPUS - M,,,,M580,  ,RICHARD R. GREEN HS OF TEACHING - M,593.0,572.0,104.0,,5.0,0.0,04/27/2015
2,M282,BROADWAY EDUCATION CAMPUS - M,,,,M896,  ,I.S. 896 - M,350.0,355.0,99.0,,5.0,0.0,04/27/2015
2,M338,P.S. 51 ELIAS HOWE - M,319.0,646.0,49.0,M051,  ,P.S. 51 - M,304.0,596.0,51.0,18.0,4.0,3.0,04/27/2015
2,M338,P.S. 51 ELIAS HOWE - M,,,,M094,  ,M094 SPED - M,15.0,50.0,30.0,,,,04/27/2015
2,M338,P.S. 51 ELIAS HOWE - M,,,,MSBH,  ,SCHOOL BASED HEALTH CENTER - M,,,,,,,04/27/2015
2,M338,P.S. 51 ELIAS HOWE - M,,,,Q998,  ,NYC SCHOOL CONSTRUCTION AUTHORITY - Q,,,,,,,04/27/2015
2,M390,P.S. 183 GYM - M,0.0,0.0,0.0,M183,  ,P.S. 183 - M,0.0,0.0,,,,,04/27/2015
2,M440,BAYARD RUSTIN EDUCATIONAL COMP-M,2232.0,2331.0,96.0,M313,  ,JAMES BALDWIN SCHOOL - M,260.0,284.0,92.0,,1.0,0.0,04/27/2015
2,M440,BAYARD RUSTIN EDUCATIONAL COMP-M,,,,M392,  ,MANHATTAN BUSINESS ACADEMY,426.0,517.0,82.0,,0.0,0.0,04/27/2015
2,M440,BAYARD RUSTIN EDUCATIONAL COMP-M,,,,M419,  ,LANDMARK HS - M,396.0,552.0,72.0,,1.0,0.0,04/27/2015
2,M440,BAYARD RUSTIN EDUCATIONAL COMP-M,,,,M422,  ,I.S. 422 - M,478.0,301.0,159.0,,4.0,0.0,04/27/2015
2,M440,BAYARD RUSTIN EDUCATIONAL COMP-M,,,,M437,  ,HUDSON HS OF LEARNING TECH - M,462.0,349.0,132.0,,0.0,0.0,04/27/2015
2,M440,BAYARD RUSTIN EDUCATIONAL COMP-M,,,,M605,  ,HUMANITIES PREPARATORY ACAD - M,210.0,328.0,64.0,,5.0,0.0,04/27/2015
2,M445,SEWARD PARK HS - M,1886.0,2168.0,87.0,M294,  ,ESSEX STREET ACADEMY - M,349.0,453.0,77.0,,4.0,0.0,04/27/2015
2,M445,SEWARD PARK HS - M,,,,M305,  ,URBAN ASSEMBLY ACADEMY - M,326.0,454.0,72.0,,3.0,0.0,04/27/2015
2,M445,SEWARD PARK HS - M,,,,M308,  ,LOWER MANHATTAN ARTS - M,362.0,317.0,114.0,,1.0,0.0,04/27/2015
2,M445,SEWARD PARK HS - M,,,,M543,  ,NEW DESIGN HS - M,439.0,484.0,91.0,,4.0,0.0,04/27/2015
2,M445,SEWARD PARK HS - M,,,,M545,  ,DUAL LANGUAGE HS - M,410.0,460.0,89.0,,5.0,0.0,04/27/2015
2,M451,LIBERTY HS - M,339.0,359.0,94.0,M550,  ,LIBERTY HS ACADEMY FOR NEWCOMERS-M,339.0,359.0,94.0,,4.0,0.0,04/27/2015
2,M460,WASHINGTON IRVING HS - M,2144.0,3030.0,71.0,M174,  ,SUCCESS ACADEMY CHARTER SCHOOL - M 1,127.0,285.0,45.0,0.0,1.0,1.0,04/27/2015
2,M460,WASHINGTON IRVING HS - M,,,,M374,  ,GRAMMERCY ARTS HS - M,548.0,556.0,99.0,,10.0,0.0,04/27/2015
2,M460,WASHINGTON IRVING HS - M,,,,M399,  ,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,358.0,434.0,82.0,,1.0,0.0,04/27/2015
2,M460,WASHINGTON IRVING HS - M,,,,M438,  ,INT'L HS AT UNION SQUARE - M,339.0,453.0,75.0,,2.0,0.0,04/27/2015
2,M460,WASHINGTON IRVING HS - M,,,,M460,  ,WASHINGTON IRVING HS - M,308.0,684.0,45.0,,9.0,0.0,04/27/2015
2,M460,WASHINGTON IRVING HS - M,,,,M533,  ,H.S. 533 - M,223.0,276.0,81.0,,2.0,0.0,04/27/2015
2,M460,WASHINGTON IRVING HS - M,,,,M546,  ,H.S. 546 - M,241.0,342.0,70.0,,0.0,0.0,04/27/2015
2,M460,WASHINGTON IRVING HS - M,,,,MCBO,  ,"ACDP,FEGS,RAPP,CLEARY GOTTLIEB - M",,,,,,,04/27/2015
2,M460,WASHINGTON IRVING HS - M,,,,MSBH,  ,"DOH DENTAL CLINIC, HEALTH CTR - M",,,,,,,04/27/2015
2,M460,WASHINGTON IRVING HS - M,,,,MSFS,  ,FOOD SERVICES - M,,,,,,,04/27/2015
2,M460,WASHINGTON IRVING HS - M,,,,MUFT,  ,UFT USE - M,,,,,,,04/27/2015
2,M475,HEALTH PROFESSIONS HS (OL STY) - M,2238.0,1594.0,140.0,M226,  ,M226 SPED - M,64.0,70.0,91.0,,,,04/27/2015
2,M475,HEALTH PROFESSIONS HS (OL STY) - M,,,,M407,  ,INSTITUTE FOR COLLABORATIVE ED - M,468.0,384.0,122.0,,5.0,0.0,04/27/2015
2,M475,HEALTH PROFESSIONS HS (OL STY) - M,,,,M420,  ,HS FOR HEALTH PROF & HUMAN SERV-M,1706.0,1140.0,150.0,,20.0,0.0,04/27/2015
2,M477,STUYVESANT HS (NEW) - M,3298.0,2801.0,118.0,M226,  ,M226 SPED - M,6.0,21.0,29.0,,,,04/27/2015
2,M477,STUYVESANT HS (NEW) - M,,,,M475,  ,STUYVESANT HS - M,3292.0,2780.0,118.0,,43.0,0.0,04/27/2015
2,M477,STUYVESANT HS (NEW) - M,,,,MDRG,  ,SPARK - M,,,,,,,04/27/2015
2,M480,JULIA RICHMAN ED. COMPLEX - M,1858.0,2250.0,83.0,M225,  ,P.S. 225 - M,319.0,335.0,95.0,34.0,3.0,3.0,04/27/2015
2,M480,JULIA RICHMAN ED. COMPLEX - M,,,,M226,* ,M226 SPED - M,50.0,62.0,81.0,,,,04/27/2015
2,M480,JULIA RICHMAN ED. COMPLEX - M,,,,M449,  ,VANGUARD HS - M,469.0,535.0,88.0,,4.0,0.0,04/27/2015
2,M480,JULIA RICHMAN ED. COMPLEX - M,,,,M459,  ,MANHATTAN INTERNATIONAL HS - M,331.0,423.0,78.0,,4.0,0.0,04/27/2015
2,M480,JULIA RICHMAN ED. COMPLEX - M,,,,M519,  ,TALENT UNLIMITED HS - M,530.0,618.0,86.0,,11.0,0.0,04/27/2015
2,M480,JULIA RICHMAN ED. COMPLEX - M,,,,M565,  ,URBAN ACADEMY LABORATORY HS - M,159.0,277.0,57.0,,2.0,0.0,04/27/2015
2,M480,JULIA RICHMAN ED. COMPLEX - M,,,,M984,  ,LYFE,,,,,,,04/27/2015
2,M480,JULIA RICHMAN ED. COMPLEX - M,,,,MSBH,  ,MT. SINAI HEALTH CENTER - M,,,,,,,04/27/2015
2,M486,J. K. ONASSIS HS FOR INT CAREERS-M,700.0,545.0,128.0,M529,  ,J. K. ONASIS HS FOR INT CAREERS-M,700.0,545.0,128.0,,7.0,0.0,04/27/2015
2,M488,MIDTOWN EAST CAMPUS - M,2080.0,2013.0,103.0,M059,  ,P.S. 59 - M,598.0,556.0,108.0,0.0,3.0,3.0,04/27/2015
2,M488,MIDTOWN EAST CAMPUS - M,,,,M169,  ,M169 SPED - M,44.0,48.0,92.0,,,,04/27/2015
2,M488,MIDTOWN EAST CAMPUS - M,,,,M630,  ,ART & DESIGN VOC HS - M,1438.0,1409.0,102.0,,28.0,0.0,04/27/2015
2,M520,MURRY BERGTRAUM HS (ECF) - M ,1551.0,2101.0,74.0,M139,  ,STEPHEN T. MATHER BUILDING ARTS & CRAFTSMANSHIP HS - M,85.0,138.0,62.0,,2.0,0.0,04/27/2015
2,M520,MURRY BERGTRAUM HS (ECF) - M ,,,,M520,  ,BERGTRAUM HS - M,1466.0,1963.0,75.0,,27.0,0.0,04/27/2015
2,M520,MURRY BERGTRAUM HS (ECF) - M ,,,,MSST,  ,SCHOOL SAFETY - M,,,,,,,04/27/2015
2,M520,MURRY BERGTRAUM HS (ECF) - M ,,,,MUFT,  ,UFT USE - M,,,,,,,04/27/2015
2,M535,PARK WEST HS (ECF) - M,2333.0,3213.0,73.0,M138,  ,M138 SPED - M,63.0,68.0,93.0,,,,04/27/2015
2,M535,PARK WEST HS (ECF) - M,,,,M288,  ,FOOD AND FINANCE HS - M,443.0,621.0,71.0,,12.0,0.0,04/27/2015
2,M535,PARK WEST HS (ECF) - M,,,,M296,  ,HOSPITALITY MANAGEMENT HS - M,431.0,781.0,55.0,,8.0,0.0,04/27/2015
2,M535,PARK WEST HS (ECF) - M,,,,M300,  ,URBAN ASSEMBLY HS - M,427.0,613.0,70.0,,10.0,0.0,04/27/2015
2,M535,PARK WEST HS (ECF) - M,,,,M303,  ,FACING HISTORY SCHOOL - M,417.0,478.0,87.0,,0.0,0.0,04/27/2015
2,M535,PARK WEST HS (ECF) - M,,,,M542,  ,MANHATTAN BRIDGES - M,552.0,652.0,85.0,,10.0,0.0,04/27/2015
2,M600,FASHION INDUSTRIES VOC HS - M,1732.0,1952.0,89.0,M600,  ,FASHION INDUSTRIES VOC HS - M,1732.0,1952.0,89.0,,33.0,0.0,04/27/2015
2,M615,CHELSEA VOC HS - M,882.0,1033.0,85.0,M376,  ,NYC ISCHOOL - M,433.0,511.0,85.0,,3.0,0.0,04/27/2015
2,M615,CHELSEA VOC HS - M,,,,M615,  ,CHELSEA VOC HS - M,443.0,522.0,85.0,,5.0,0.0,04/27/2015
2,M615,CHELSEA VOC HS - M,,,,M721,# ,M721 SPED - M,6.0,0.0,0.0,,,,04/27/2015
2,M620,NORMAN THOMAS HS (ECF) - M,1072.0,2105.0,51.0,M427,  ,MANHATTAN ACADEMY OF ARTS AND LLANGUAGE - M,312.0,486.0,64.0,,3.0,0.0,04/27/2015
2,M620,NORMAN THOMAS HS (ECF) - M,,,,M432,  ,MURRAY HILL ACADEMY HS - M,305.0,481.0,63.0,,1.0,0.0,04/27/2015
2,M620,NORMAN THOMAS HS (ECF) - M,,,,M500,  ,UNITY HS - M,255.0,333.0,77.0,,0.0,0.0,04/27/2015
2,M620,NORMAN THOMAS HS (ECF) - M,,,,M620,  ,NORMAN THOMAS HS - M,200.0,805.0,25.0,,13.0,0.0,04/27/2015
2,M620,NORMAN THOMAS HS (ECF) - M,,,,MSBH,  ,BELLEVUE HOSPITAL - M,,,,,,,04/27/2015
2,M625,HS OF GRAPHIC COMMUNICATION ARTS-M,1776.0,2337.0,76.0,M135,  ,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,116.0,106.0,109.0,,0.0,0.0,04/27/2015
2,M625,HS OF GRAPHIC COMMUNICATION ARTS-M,,,,M170,  ,SUCCESS ACADEMY CHARTER SCHOOL - M 2,138.0,307.0,45.0,0.0,1.0,1.0,04/27/2015
2,M625,HS OF GRAPHIC COMMUNICATION ARTS-M,,,,M393,  ,THE BUSINESS OF SPORTS SCHOOL,420.0,509.0,83.0,,2.0,0.0,04/27/2015
2,M625,HS OF GRAPHIC COMMUNICATION ARTS-M,,,,M507,  ,URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNOLOGY - M,367.0,463.0,79.0,,2.0,0.0,04/27/2015
2,M625,HS OF GRAPHIC COMMUNICATION ARTS-M,,,,M625,  ,HS OF GRAPHIC COMM. ARTS (VOC)-M,735.0,952.0,77.0,,17.0,0.0,04/27/2015
2,M625,HS OF GRAPHIC COMMUNICATION ARTS-M,,,,MCBO,  ,R.O.T.C. - M,,,,,,,04/27/2015
