Geo Dist,Bldg ID,Bldg Name,Bldg Enroll,Target Bldg Cap,Target Bldg Util,Org ID,Incl. Class,Organization Name,Org Enroll,Org Target Cap,Org Target Util,PreK Cap +,No. of Cluster / Spec Rms Reported +,No. of Cluster Rms Needed +,Data As Of
1,M064,P.S. 64 (OLD 71) - M,,,,M839,  ,I.S. 839 - M,377,430,88,,5,0,04/27/2015
1,M064,P.S. 64 (OLD 71) - M,,,,MCBO,  ,EDUCATIONAL ALLIANCE - M,,,,,,,04/27/2015
1,M064,P.S. 64 (OLD 71) - M,,,,MCEP,  ,ADULT EDUCATION - M,,,,,,,04/27/2015
1,M064,P.S. 64 (OLD 71) - M,,,,MSBH,  ,NENA/RYAN HLTH. CLINIC - M,,,,,,,04/27/2015
1,M064,P.S. 64 (OLD 71) - M,,,,MUFT,  ,UFT USE - M,,,,,,,04/27/2015
1,M097,BARD COLLEGE HS (OLD M097) - M,560,782,72,M696,  ,BARD COLLEGE HS - M,560,782,72,,7,0,04/27/2015
1,M110,P.S. 110 - M,416,394,106,M110,  ,P.S. 110 - M,416,394,106,36,4,3,04/27/2015
1,M134,P.S. 134 - M,520,699,74,M134,  ,P.S. 134 - M,318,413,77,36,4,3,04/27/2015
1,M134,P.S. 134 - M,,,,M137,  ,P.S. 137 - M,202,286,71,18,2,2,04/27/2015
1,M137,P.S. 137 - M,668,737,91,M184,  ,P.S. 184 - M,668,737,91,36,6,3,04/27/2015
4,M045,I.S. 45 - M,,,,MCBO,  ,HARLEM DNA LAB,,,,,,,04/27/2015
1,M140,P.S. 140 - M,393,493,80,M140,  ,P.S. 140 - M,393,493,80,18,5,3,04/27/2015
1,M140,P.S. 140 - M,,,,MCBO,  ,EDUCATION ALLIANCE - M,,,,,,,04/27/2015
1,M140,P.S. 140 - M,,,,MSST,  ,SCHOOL SAFETY - M,,,,,,,04/27/2015
1,M142,P.S. 142 - M,658,627,105,M142,  ,P.S. 142 - M,384,446,86,36,6,3,04/27/2015
1,M142,P.S. 142 - M,,,,M320,  ,MANHATTAN CHARTER - M,274,181,151,0,1,3,04/27/2015
1,M142,P.S. 142 - M,,,,MCBO,  ,EDUCATIONAL ALLIANCE - M,,,,,,,04/27/2015
1,M188,P.S. 188 - M,889,1064,84,M094,* ,M094 SPED - M,52,97,54,,,,04/27/2015
1,M188,P.S. 188 - M,,,,M188,  ,P.S. 188 - M,501,632,79,36,4,3,04/27/2015
1,M188,P.S. 188 - M,,,,M330,  ,GIRLS PREP CHARTER SCHOOL - M,336,335,100,0,6,3,04/27/2015
1,M446,UNIVERSITY NEIGHBORHOOD - M,299,639,47,M448,  ,UNIVERSITY NEIGHBORHOOD HS - M,299,639,47,,10,0,04/27/2015
1,M446,UNIVERSITY NEIGHBORHOOD - M,,,,MCBO,  ,COMMUNITY BASED ORGANIZATION - M,,,,,,,04/27/2015
1,M510,FORSYTH HS (AUXSVC-OLD 91) - M,677,894,76,M458,  ,SATELLITE AT FORSYTHE,224,349,64,,2,0,04/27/2015
1,M510,FORSYTH HS (AUXSVC-OLD 91) - M,,,,M650,  ,CASCADES CTR FOR TCHING & LNG - M,222,297,75,,3,0,04/27/2015
1,M510,FORSYTH HS (AUXSVC-OLD 91) - M,,,,M984,  ,LYFE,,,,,,,04/27/2015
1,M510,FORSYTH HS (AUXSVC-OLD 91) - M,,,,MCEP,  ,ADULT BASIC EDUCATION - M,,,,,,,04/27/2015
1,M510,FORSYTH HS (AUXSVC-OLD 91) - M,,,,Q950,  ,PATHWAYS TO GRADUATION - Q,231,248,93,,,,04/27/2015
1,M751,P.S. 751 (CAR.DEV/OLD 25) - M,211,215,98,M751,  ,M751 SPED - M,211,215,98,,,,04/27/2015
2,M001,P.S. 1 - M,496,669,74,M001,  ,P.S. 1 - M,496,669,74,47,5,3,04/27/2015
2,M002,P.S. 2 - M,822,911,90,M002,  ,P.S. 2 - M,822,911,90,36,6,4,04/27/2015
2,M002,P.S. 2 - M,,,,MCBO,  ,CHINESE-AMERICAN PLNG COUNCIL - M,,,,,,,04/27/2015
2,M003,P.S. 3 - M,808,730,111,M003,  ,P.S. 3 - M,808,730,111,48,7,4,04/27/2015
2,M006,P.S. 6 - M,751,540,139,M006,  ,P.S. 6 - M,751,540,139,0,2,4,04/27/2015
2,M011,P.S. 11 - M,820,786,104,M011,  ,P.S. 11 - M,820,786,104,18,6,4,04/27/2015
2,M017,I.S. 17 - M,855,893,96,M212,  ,P.S. 212 - M,343,342,100,0,2,3,04/27/2015
2,M017,I.S. 17 - M,,,,M408,  ,P.P.A.S. - M,512,551,93,,3,0,04/27/2015
2,M033,P.S. 33 - M,655,666,98,M033,  ,P.S. 33 - M,576,584,99,35,1,3,04/27/2015
2,M033,P.S. 33 - M,,,,M138,* ,M138 SPED - M,79,82,96,,,,04/27/2015
2,M040,P.S. 40 - M,972,908,107,M040,  ,P.S. 40 - M,594,562,106,0,4,3,04/27/2015
2,M040,P.S. 40 - M,,,,M255,  ,I.S. 255 - M,378,346,109,,5,0,04/27/2015
2,M041,P.S. 41 - M,791,638,124,M041,  ,P.S. 41 - M,791,638,124,32,5,4,04/27/2015
2,M042,P.S. 42 - M,792,729,109,M042,  ,P.S. 42 - M,792,729,109,34,3,4,04/27/2015
2,M047,J.H.S. 47 (SCH FOR THE DEAF) - M,442,791,56,M047,  ,J.H.S. 47 (SCH FOR THE DEAF) - M,184,268,69,,3,0,04/27/2015
2,M047,J.H.S. 47 (SCH FOR THE DEAF) - M,,,,M138,  ,M138 SPED - M,44,98,45,,,,04/27/2015
2,M047,J.H.S. 47 (SCH FOR THE DEAF) - M,,,,M347,  ,P.S. 347 - M,214,425,50,107,2,2,04/27/2015
2,M058,P.S. 35 (OLD 58/MNHT HS) - M,208,260,80,M035,  ,M035 SPED - M,189,213,89,,,,04/27/2015
2,M058,P.S. 35 (OLD 58/MNHT HS) - M,,,,M984,  ,LYFE,,,,,,,04/27/2015
2,M058,P.S. 35 (OLD 58/MNHT HS) - M,,,,Q950,  ,PATHWAYS TO GRADUATION - Q,19,47,40,,,,04/27/2015
2,M066,RICHARD R GREEN HS OF TEACHING - M,485,728,67,M151,  ,P.S. 151 - M,485,728,67,0,5,3,04/27/2015
2,M070,I.S. 70 - M,1634,1656,99,M312,  ,NYC LAB MIDDLE SCHOOL - M,573,660,87,,2,0,04/27/2015
2,M070,I.S. 70 - M,,,,M412,  ,NYC LAB HS - M,599,516,116,,6,0,04/27/2015
2,M070,I.S. 70 - M,,,,M414,  ,MUSEUM SCHOOL - M,462,480,96,,5,0,04/27/2015
2,M070,I.S. 70 - M,,,,MCBO,  ,HUDSON GUILD - M,,,,,,,04/27/2015
2,M089,P.S./I.S. 89 - M,765,737,104,M089,  ,P.S. 89 - M,472,427,111,36,4,3,04/27/2015
2,M089,P.S./I.S. 89 - M,,,,M289,  ,I.S. 89 - M,293,310,95,,1,0,04/27/2015
2,M104,I.S. 104 - M,1034,1198,86,M104,  ,I.S. 104 - M,1034,1198,86,,7,0,04/27/2015
2,M111,P.S. 111 - M,533,753,71,M111,  ,P.S. 111 - M,533,753,71,36,5,3,04/27/2015
2,M114,EAST SIDE MIDDLE SCHOOL - M,479,518,92,M114,  ,I.S. 114 - M,443,485,91,,4,0,04/27/2015
2,M114,EAST SIDE MIDDLE SCHOOL - M,,,,M138,  ,M138 SPED - M,36,33,109,,,,04/27/2015
2,M116,P.S. 116 - M,724,639,113,M116,  ,P.S. 116 - M,724,639,113,0,4,3,04/27/2015
2,M124,P.S. 124 (ECF) - M,866,901,96,M124,  ,P.S. 124 - M,866,901,96,35,8,4,04/27/2015
2,M126,P.S. 126 - M,841,926,91,M126,  ,P.S. 126 - M,841,926,91,54,7,4,04/27/2015
2,M126,P.S. 126 - M,,,,MCBO,  ,YMCA - M,,,,,,,04/27/2015
2,M126,P.S. 126 - M,,,,MUFT,  ,UFT USE - M,,,,,,,04/27/2015
2,M130,P.S. 130 - M,999,964,104,M130,  ,P.S. 130 - M,999,964,104,36,6,4,04/27/2015
2,M130,P.S. 130 - M,,,,MCBO,  ,CHINESE AMER. PLANNING COUN. - M,,,,,,,04/27/2015
2,M131,I.S. 131 - M,1087,1487,73,M131,  ,I.S. 131 - M,445,592,75,,9,0,04/27/2015
2,M131,I.S. 131 - M,,,,M298,  ,PACE HIGH SCHOOL - M,421,547,77,,3,0,04/27/2015
2,M131,I.S. 131 - M,,,,M394,  ,EMMA LAZARUS HIGH SCHOOL,221,348,64,,7,0,04/27/2015
2,M131,I.S. 131 - M,,,,MCBO,  ,CHINATOWN YMCA - M,,,,,,,04/27/2015
2,M158,P.S. 158 - M,747,1063,70,M158,  ,P.S. 158 - M,747,1063,70,32,14,3,04/27/2015
2,M167,I.S. 167 - M,1345,1472,91,M167,  ,I.S. 167 - M,1345,1472,91,,11,0,04/27/2015
2,M169,P.S. 169 (ECF) - M,162,252,64,M169,  ,M169 SPED - M,162,252,64,,,,04/27/2015
2,M169,P.S. 169 (ECF) - M,,,,MADM,  ,QCPC - M,,,,,,,04/27/2015
2,M183,P.S. 183 - M,606,466,130,M183,  ,P.S. 183 - M,606,466,130,0,2,3,04/27/2015
2,M190,P.S. 290 - M,675,515,131,M290,  ,P.S. 290 - M,675,515,131,0,2,3,04/27/2015
2,M198,P.S. 198 - M,843,743,113,M077,  ,P.S. 77 - M,348,253,138,0,3,3,04/27/2015
2,M198,P.S. 198 - M,,,,M198,  ,P.S. 198 - M,495,490,101,32,4,3,04/27/2015
2,M234,P.S. 234 - M,643,504,128,M234,  ,P.S. 234 - M,643,504,128,0,2,4,04/27/2015
2,M267,P.S. 59 (MEETH) - M               ,261,384,68,M267,  ,P.S. 267,261,384,68,36,4,3,04/27/2015
2,M271,P.S./I.S. 217 - M,518,720,72,M217,  ,P.S./I.S. 217 - M,518,720,72,36,8,3,04/27/2015
2,M276,P.S./I.S. 276 - M,930,768,121,M094,* ,M094 SPED - M,55,35,157,,,,04/27/2015
2,M276,P.S./I.S. 276 - M,,,,M276,  ,P.S./I.S. 276 - M,875,733,119,0,5,4,04/27/2015
2,M281,P.S. 281 - M,146,846,17,M094,  ,M094 SPED - M,61,68,90,,,,04/27/2015
2,M281,P.S. 281 - M,,,,M281,  ,PS 281 - THE RIVER SCHOOL,85,778,11,70,2,1,04/27/2015
2,M282,BROADWAY EDUCATION CAMPUS - M,1355,1425,95,M316,  ,URBAN ASSEMBLY SCHOOL - M,412,498,83,,6,0,04/27/2015
2,M282,BROADWAY EDUCATION CAMPUS - M,,,,M580,  ,RICHARD R. GREEN HS OF TEACHING - M,593,572,104,,5,0,04/27/2015
2,M282,BROADWAY EDUCATION CAMPUS - M,,,,M896,  ,I.S. 896 - M,350,355,99,,5,0,04/27/2015
2,M338,P.S. 51 ELIAS HOWE - M,319,646,49,M051,  ,P.S. 51 - M,304,596,51,18,4,3,04/27/2015
2,M338,P.S. 51 ELIAS HOWE - M,,,,M094,  ,M094 SPED - M,15,50,30,,,,04/27/2015
2,M338,P.S. 51 ELIAS HOWE - M,,,,MSBH,  ,SCHOOL BASED HEALTH CENTER - M,,,,,,,04/27/2015
2,M338,P.S. 51 ELIAS HOWE - M,,,,Q998,  ,NYC SCHOOL CONSTRUCTION AUTHORITY - Q,,,,,,,04/27/2015
2,M390,P.S. 183 GYM - M,0,0,0,M183,  ,P.S. 183 - M,0,0,,,,,04/27/2015
2,M440,BAYARD RUSTIN EDUCATIONAL COMP-M,2232,2331,96,M313,  ,JAMES BALDWIN SCHOOL - M,260,284,92,,1,0,04/27/2015
2,M440,BAYARD RUSTIN EDUCATIONAL COMP-M,,,,M392,  ,MANHATTAN BUSINESS ACADEMY,426,517,82,,0,0,04/27/2015
2,M440,BAYARD RUSTIN EDUCATIONAL COMP-M,,,,M419,  ,LANDMARK HS - M,396,552,72,,1,0,04/27/2015
2,M440,BAYARD RUSTIN EDUCATIONAL COMP-M,,,,M422,  ,I.S. 422 - M,478,301,159,,4,0,04/27/2015
2,M440,BAYARD RUSTIN EDUCATIONAL COMP-M,,,,M437,  ,HUDSON HS OF LEARNING TECH - M,462,349,132,,0,0,04/27/2015
2,M440,BAYARD RUSTIN EDUCATIONAL COMP-M,,,,M605,  ,HUMANITIES PREPARATORY ACAD - M,210,328,64,,5,0,04/27/2015
2,M445,SEWARD PARK HS - M,1886,2168,87,M294,  ,ESSEX STREET ACADEMY - M,349,453,77,,4,0,04/27/2015
2,M445,SEWARD PARK HS - M,,,,M305,  ,URBAN ASSEMBLY ACADEMY - M,326,454,72,,3,0,04/27/2015
2,M445,SEWARD PARK HS - M,,,,M308,  ,LOWER MANHATTAN ARTS - M,362,317,114,,1,0,04/27/2015
2,M445,SEWARD PARK HS - M,,,,M543,  ,NEW DESIGN HS - M,439,484,91,,4,0,04/27/2015
2,M445,SEWARD PARK HS - M,,,,M545,  ,DUAL LANGUAGE HS - M,410,460,89,,5,0,04/27/2015
2,M451,LIBERTY HS - M,339,359,94,M550,  ,LIBERTY HS ACADEMY FOR NEWCOMERS-M,339,359,94,,4,0,04/27/2015
2,M460,WASHINGTON IRVING HS - M,2144,3030,71,M174,  ,SUCCESS ACADEMY CHARTER SCHOOL - M 1,127,285,45,0,1,1,04/27/2015
2,M460,WASHINGTON IRVING HS - M,,,,M374,  ,GRAMMERCY ARTS HS - M,548,556,99,,10,0,04/27/2015
2,M460,WASHINGTON IRVING HS - M,,,,M399,  ,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,358,434,82,,1,0,04/27/2015
2,M460,WASHINGTON IRVING HS - M,,,,M438,  ,INT'L HS AT UNION SQUARE - M,339,453,75,,2,0,04/27/2015
2,M460,WASHINGTON IRVING HS - M,,,,M460,  ,WASHINGTON IRVING HS - M,308,684,45,,9,0,04/27/2015
2,M460,WASHINGTON IRVING HS - M,,,,M533,  ,H.S. 533 - M,223,276,81,,2,0,04/27/2015
2,M460,WASHINGTON IRVING HS - M,,,,M546,  ,H.S. 546 - M,241,342,70,,0,0,04/27/2015
2,M460,WASHINGTON IRVING HS - M,,,,MCBO,  ,"ACDP,FEGS,RAPP,CLEARY GOTTLIEB - M",,,,,,,04/27/2015
2,M460,WASHINGTON IRVING HS - M,,,,MSBH,  ,"DOH DENTAL CLINIC, HEALTH CTR - M",,,,,,,04/27/2015
2,M460,WASHINGTON IRVING HS - M,,,,MSFS,  ,FOOD SERVICES - M,,,,,,,04/27/2015
2,M460,WASHINGTON IRVING HS - M,,,,MUFT,  ,UFT USE - M,,,,,,,04/27/2015
2,M475,HEALTH PROFESSIONS HS (OL STY) - M,2238,1594,140,M226,  ,M226 SPED - M,64,70,91,,,,04/27/2015
2,M475,HEALTH PROFESSIONS HS (OL STY) - M,,,,M407,  ,INSTITUTE FOR COLLABORATIVE ED - M,468,384,122,,5,0,04/27/2015
2,M475,HEALTH PROFESSIONS HS (OL STY) - M,,,,M420,  ,HS FOR HEALTH PROF & HUMAN SERV-M,1706,1140,150,,20,0,04/27/2015
2,M477,STUYVESANT HS (NEW) - M,3298,2801,118,M226,  ,M226 SPED - M,6,21,29,,,,04/27/2015
2,M477,STUYVESANT HS (NEW) - M,,,,M475,  ,STUYVESANT HS - M,3292,2780,118,,43,0,04/27/2015
2,M477,STUYVESANT HS (NEW) - M,,,,MDRG,  ,SPARK - M,,,,,,,04/27/2015
2,M480,JULIA RICHMAN ED. COMPLEX - M,1858,2250,83,M225,  ,P.S. 225 - M,319,335,95,34,3,3,04/27/2015
2,M480,JULIA RICHMAN ED. COMPLEX - M,,,,M226,* ,M226 SPED - M,50,62,81,,,,04/27/2015
2,M480,JULIA RICHMAN ED. COMPLEX - M,,,,M449,  ,VANGUARD HS - M,469,535,88,,4,0,04/27/2015
2,M480,JULIA RICHMAN ED. COMPLEX - M,,,,M459,  ,MANHATTAN INTERNATIONAL HS - M,331,423,78,,4,0,04/27/2015
2,M480,JULIA RICHMAN ED. COMPLEX - M,,,,M519,  ,TALENT UNLIMITED HS - M,530,618,86,,11,0,04/27/2015
2,M480,JULIA RICHMAN ED. COMPLEX - M,,,,M565,  ,URBAN ACADEMY LABORATORY HS - M,159,277,57,,2,0,04/27/2015
2,M480,JULIA RICHMAN ED. COMPLEX - M,,,,M984,  ,LYFE,,,,,,,04/27/2015
2,M480,JULIA RICHMAN ED. COMPLEX - M,,,,MSBH,  ,MT. SINAI HEALTH CENTER - M,,,,,,,04/27/2015
2,M486,J. K. ONASSIS HS FOR INT CAREERS-M,700,545,128,M529,  ,J. K. ONASIS HS FOR INT CAREERS-M,700,545,128,,7,0,04/27/2015
2,M488,MIDTOWN EAST CAMPUS - M,2080,2013,103,M059,  ,P.S. 59 - M,598,556,108,0,3,3,04/27/2015
2,M488,MIDTOWN EAST CAMPUS - M,,,,M169,  ,M169 SPED - M,44,48,92,,,,04/27/2015
2,M488,MIDTOWN EAST CAMPUS - M,,,,M630,  ,ART & DESIGN VOC HS - M,1438,1409,102,,28,0,04/27/2015
2,M520,MURRY BERGTRAUM HS (ECF) - M ,1551,2101,74,M139,  ,STEPHEN T. MATHER BUILDING ARTS & CRAFTSMANSHIP HS - M,85,138,62,,2,0,04/27/2015
2,M520,MURRY BERGTRAUM HS (ECF) - M ,,,,M520,  ,BERGTRAUM HS - M,1466,1963,75,,27,0,04/27/2015
2,M520,MURRY BERGTRAUM HS (ECF) - M ,,,,MSST,  ,SCHOOL SAFETY - M,,,,,,,04/27/2015
2,M520,MURRY BERGTRAUM HS (ECF) - M ,,,,MUFT,  ,UFT USE - M,,,,,,,04/27/2015
2,M535,PARK WEST HS (ECF) - M,2333,3213,73,M138,  ,M138 SPED - M,63,68,93,,,,04/27/2015
2,M535,PARK WEST HS (ECF) - M,,,,M288,  ,FOOD AND FINANCE HS - M,443,621,71,,12,0,04/27/2015
2,M535,PARK WEST HS (ECF) - M,,,,M296,  ,HOSPITALITY MANAGEMENT HS - M,431,781,55,,8,0,04/27/2015
2,M535,PARK WEST HS (ECF) - M,,,,M300,  ,URBAN ASSEMBLY HS - M,427,613,70,,10,0,04/27/2015
2,M535,PARK WEST HS (ECF) - M,,,,M303,  ,FACING HISTORY SCHOOL - M,417,478,87,,0,0,04/27/2015
2,M535,PARK WEST HS (ECF) - M,,,,M542,  ,MANHATTAN BRIDGES - M,552,652,85,,10,0,04/27/2015
2,M600,FASHION INDUSTRIES VOC HS - M,1732,1952,89,M600,  ,FASHION INDUSTRIES VOC HS - M,1732,1952,89,,33,0,04/27/2015
2,M615,CHELSEA VOC HS - M,882,1033,85,M376,  ,NYC ISCHOOL - M,433,511,85,,3,0,04/27/2015
2,M615,CHELSEA VOC HS - M,,,,M615,  ,CHELSEA VOC HS - M,443,522,85,,5,0,04/27/2015
2,M615,CHELSEA VOC HS - M,,,,M721,# ,M721 SPED - M,6,0,0,,,,04/27/2015
2,M620,NORMAN THOMAS HS (ECF) - M,1072,2105,51,M427,  ,MANHATTAN ACADEMY OF ARTS AND LLANGUAGE - M,312,486,64,,3,0,04/27/2015
2,M620,NORMAN THOMAS HS (ECF) - M,,,,M432,  ,MURRAY HILL ACADEMY HS - M,305,481,63,,1,0,04/27/2015
2,M620,NORMAN THOMAS HS (ECF) - M,,,,M500,  ,UNITY HS - M,255,333,77,,0,0,04/27/2015
2,M620,NORMAN THOMAS HS (ECF) - M,,,,M620,  ,NORMAN THOMAS HS - M,200,805,25,,13,0,04/27/2015
2,M620,NORMAN THOMAS HS (ECF) - M,,,,MSBH,  ,BELLEVUE HOSPITAL - M,,,,,,,04/27/2015
2,M625,HS OF GRAPHIC COMMUNICATION ARTS-M,1776,2337,76,M135,  ,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,116,106,109,,0,0,04/27/2015
2,M625,HS OF GRAPHIC COMMUNICATION ARTS-M,,,,M170,  ,SUCCESS ACADEMY CHARTER SCHOOL - M 2,138,307,45,0,1,1,04/27/2015
2,M625,HS OF GRAPHIC COMMUNICATION ARTS-M,,,,M393,  ,THE BUSINESS OF SPORTS SCHOOL,420,509,83,,2,0,04/27/2015
2,M625,HS OF GRAPHIC COMMUNICATION ARTS-M,,,,M507,  ,URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNOLOGY - M,367,463,79,,2,0,04/27/2015
2,M625,HS OF GRAPHIC COMMUNICATION ARTS-M,,,,M625,  ,HS OF GRAPHIC COMM. ARTS (VOC)-M,735,952,77,,17,0,04/27/2015
2,M625,HS OF GRAPHIC COMMUNICATION ARTS-M,,,,MCBO,  ,R.O.T.C. - M,,,,,,,04/27/2015
2,M641,CITY AS SCHOOL (OLD 95) - M,766,584,131,M560,  ,CITY-AS-SCHOOL - M,606,365,166,,3,0,04/27/2015
2,M641,CITY AS SCHOOL (OLD 95) - M,,,,M721,  ,M721 SPED - M,160,219,73,,,,04/27/2015
2,M641,CITY AS SCHOOL (OLD 95) - M,,,,M984,  ,LYFE,,,,,,,04/27/2015
2,M641,CITY AS SCHOOL (OLD 95) - M,,,,MADM,  ,HOME INSTRUCTION - M,,,,,,,04/27/2015
2,M645,OLD MANHATTAN VOC/TECH HS - M,771,695,111,M655,  ,LIFE SCIENCE SECONDARY SCHOOL - M,771,695,111,,12,0,04/27/2015
2,M646,SCL COOP TECH ED (MNH VOC HS) - M,57,579,10,M645,  ,SCHOOL FOR COOP TECH. ED. - M,0,502,0,,35,0,04/27/2015
2,M646,SCL COOP TECH ED (MNH VOC HS) - M,,,,Q950,  ,PATHWAYS TO GRADUATION - Q,57,77,74,,,,04/27/2015
2,M660,SCHL OF THE FUTURE (OLD BACON) - M,728,804,91,M138,# ,M138 SPED - M,13,0,0,,,,04/27/2015
2,M660,SCHL OF THE FUTURE (OLD BACON) - M,,,,M413,  ,SCHOOL OF THE FUTURE - M,715,804,89,,7,0,04/27/2015
2,M661,MNHT COMP NIGHT&DAY (OL BACN X)-M,403,421,96,M575,  ,MNHT COMPR. NIGHT & DAY HS - M,403,421,96,,3,0,04/27/2015
2,M807,HARVEY MILK SCHOOL - M,75,120,63,M586,  ,HARVEY MILK SCHOOL - M,75,120,63,,0,0,04/27/2015
2,M816,P.S. 816 - M,92,509,18,M527,  ,P.S. 527 - M,92,509,18,0,2,1,04/27/2015
2,M824,MILLENNIUM HS - M,629,525,120,M226,# ,M226 SPED - M,10,0,0,,,,04/27/2015
2,M824,MILLENNIUM HS - M,,,,M418,  ,MILLENNIUM HS - M,619,525,118,,1,0,04/27/2015
2,M827,AUX. SERV-MAN. LEARNING CENTER - M**,401,924,48,M984,  ,LYFE,,,,,,,04/27/2015
2,M827,AUX. SERV-MAN. LEARNING CENTER - M**,,,,MCBO,  ,GOOD SHEPHERD SERVICES - M,,,,,,,04/27/2015
2,M827,AUX. SERV-MAN. LEARNING CENTER - M**,,,,MCEP,  ,ADULT BASIC EDUCATION - M,,,,,,,04/27/2015
2,M827,AUX. SERV-MAN. LEARNING CENTER - M**,,,,Q950,  ,PATHWAYS TO GRADUATION - Q,401,924,48,,10,0,04/27/2015
2,M833,HS FOR ECONOMICS & FINANCE - M,767,741,104,M489,  ,HS FOR ECONOMICS & FINANCE - M,767,741,104,,8,0,04/27/2015
2,M834,HS FOR ENVIRONMENTAL STUDIES - M,1640,1462,112,M400,  ,HS FOR ENVIRONMENTAL STUDIES - M,1312,1033,127,,14,0,04/27/2015
2,M834,HS FOR ENVIRONMENTAL STUDIES - M,,,,M544,  ,INDEPENDENCE HS - M,328,429,76,,2,0,04/27/2015
2,M834,HS FOR ENVIRONMENTAL STUDIES - M,,,,M973,  ,RESTART - M,0,0,,,,,04/27/2015
2,M834,HS FOR ENVIRONMENTAL STUDIES - M,,,,M984,  ,LYFE,,,,,,,04/27/2015
2,M835,THE COMMUNITY PREPARATORY HS - M,52,153,34,Q950,  ,PATHWAYS TO GRADUATION - Q,52,153,34,,,,04/27/2015
2,M840,P.S. 150 - M,184,154,119,M150,  ,P.S. 150 - M,184,154,119,18,2,2,04/27/2015
2,M843,P.S. 234 ANNEX - M,142,134,106,M234,  ,P.S. 234 - M,142,134,106,,,,04/27/2015
2,M844,P.S. 138 ANNEX (OLD M047 AX) - M,13,41,32,M721,  ,M721 SPED - M,13,41,32,,,,04/27/2015
2,M855,ELEANOR ROOSEVELT HS - M,531,620,86,M416,  ,ELEANOR ROOSEVELT HS - M,531,620,86,,8,0,04/27/2015
2,M860,CENT HEADQUARTERS - M,123,72,171,M343,  ,P.S. 343 - M,123,72,171,0,0,1,04/27/2015
